Assesment Name,cleaned_text,Duration,Remote Testing Support,URL,Adaptive/IRT,Job Type
Cashier Solution,entry Cashier solution entry level retail position employee receive payment form cash check credit card good purchase sample task job include limit handle payment offer customer service issue receipt refund potential job title use solution Cashier Sales Associate Clerk multiple configuration version solution available,28,yes,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,yes,Entry
Claims/Operations Supervisor Solution,Manager Claims Operations Supervisor solution entry level management position involve supervise hourly employee sample task job include limit planning preapre work schedule assign employee specific dutite coach employee attendance conduct schedule adherence work task develop employee skill train subordinate prioritize multiple task priority make day day decision minimal guidance potential job title use solution Team Leader Coach Line Supervisor Claims Supervisor Operations Supervisor Customer Service Supervisor multiple configuration solution available,48,yes,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,yes,Manager
Contact Center Customer Service + 8.0,entry Contact Center + Customer Service Job Focused Assessment design measure skill competency behavior need success contact center role main focus customer service JFA include mobile optimize contact center simulation behavioral assessment cognitive test assessment capture ability provide exceptional customer service entry level contact center role,41,yes,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,no,Entry
Contact Center Customer Service 8.0,entry Customer Service JFA design entry level position contact center environment main focus customer service,31,yes,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,no,Entry
Contact Center Manager - Short Form,Manager Contact Center Manager solution mid upper level contact center managerial position sample task job include limit supervise coordinate activity subordinate interact day day subordinate train employee potential job title use solution Contact Center Team Leader Line Supervisor Contact Center Manager,50,yes,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,yes,Manager
Contact Center Sales & Service + 8.0,entry Contact Center + Sales Service Job Focused Assessment design measure skill competency behavior need success contact center role involve sale relate behavior recommend product service retain customer JFA include mobile optimize contact center simulation behavioral assessment cognitive test assessment capture ability provide exceptional customer service drive sale entry level contact center role,41,yes,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,no,Entry
Contact Center Sales & Service 8.0,entry Sales Service JFA design contact center role involve sale sale relate behavior recommend product service retain customer,31,yes,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,no,Entry
Contact Center Team Lead/Coach - Short Form,Line Manager Professional Individual Contributor Supervisor Contact Center Team Lead Coach solution job candidate apply entry level leadership position tend supervise hourly employee sample task job include limit planning prepare work schedule assign employee specific duty coach employee attendance conduct schedule adherence work task develop employee skill training subordinate tenured peer prioritize multiple task priority make day day decision minimal guidance potential job title use solution Team Leader Coach Line Supervisor Processing Supervisor Center Supervisor Customer Service Supervisor,45,yes,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,yes,"Front Line Manager, Professional Individual Contributor, Supervisor,"
Contact Centre Agent Solution - UK,entry solution job candidate apply entry level position contact centre environment main focus job customer service candidate answer multiple choice question question customer simulation environment solution measure work information customer focus contact centre retention navigation service orientation tactful problem solve addition solution measure datum entry speed accuracy multi tasking preference achievement orientation conscientiousness,39,yes,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,no,Entry
Customer Service - Short Form,entry Customer Service Representative Solution entry level position involve high degree interaction customer person phone sample task job include limit take order solve product service issue respond positively difficult customer refer unresolved issue appropriate individual provide information product and/or service potential job title use solution Account Service Representative Account Representative Customer Service Representative Customer Service Agent,42,yes,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,yes,Entry
Customer Service - Short Form - UK,entry Customer Service Representative solution entry level position involve high degree interaction customer person phone sample task job include limit take order solve product service issue respond positively difficult customer refer unresolved issue appropriate individual provide information product and/or service potential job title use solution Account Service Representative Account Representative Customer Service Representative Customer Service Agent,42,yes,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,yes,Entry
Customer Service with Sales - Short Form,entry Customer Service sale solution entry level position involve provide service support customer sell good service sample task job include limit take order solve product service issue sell product service respond positively difficult customer add new good service exist account provide information product and/or service potential job title use solution Account Service Representative Account Representative Customer Service Representative Sales Representative,44,yes,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,yes,Entry
Director - Short Form,Director Director solution intend use senior level position responsible planning direct coordinate key business activity operation company duty responsibility include formulate policy manage daily operation plan use material human resource potential job title use solution Director Regional Director Director Operations,69,yes,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,yes,Director
District/Regional Manager Solution,Manager District Regional Manager solution mid- senior level managerial position oversee multiple store define area sample task job include limit direct group supervisor manager have profit loss responsibility district region align work overall company goal potential job title use solution Regional Director District Manager General Manager Regional Manager Store Manager Area Manager multiple configuration version solution available,65,yes,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,yes,Manager
Entry Level Cashier 7.1 (Americas),entry Entry level Cashier solution entry level retail position employee receive payment form cash check credit card good purchase sample task job include limit handle payment offer customer service issue receipt refund potential job title use solution Cashier Sales Associate Clerk,18,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,no,Entry
Entry Level Cashier 7.1 (International),entry Entry level Cashier solution entry level retail position employee receive payment form cash check credit card good purchase sample task job include limit handle payment offer customer service issue receipt refund potential job title use solution Cashier Sales Associate Clerk,18,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,no,Entry
Entry Level Customer Service 7.1 (Americas),entry Entry Level Customer Service Solution Retail Contact Center entry level position employee interact customer provide information carry customer request relate organization product service sample task job include limit interact customer phone person take order solve product service issue respond positively difficult irate customer,19,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,no,Entry
Entry Level Customer Service 7.1 (International),entry Entry Level Customer Service Solution Retail Contact Center entry level position employee interact customer provide information carry customer request relate organization product service sample task job include limit interact customer phone person take order solve product service issue respond positively difficult irate customer,19,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,no,Entry
Entry Level Customer Service 7.1 (South Africa),entry Entry Level Customer Service Solution Retail Contact Center entry level position employee interact customer provide information carry customer request relate organization product service sample task job include limit interact customer phone person take order solve product service issue respond positively difficult irate customer,19,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,no,Entry
Entry level Sales 7.1 (Americas),entry Entry level sale solution entry level position employee proactively sell product service customer compensation and/or performance base sale revenue sample task job include limit promote product customer persuade customer buy product complete transaction customer,20,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,no,Entry
Entry level Sales 7.1 (International),entry Entry level sale solution entry level position employee proactively sell product service customer compensation and/or performance base sale revenue sample task job include limit promote product customer persuade customer buy product complete transaction customer,20,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,no,Entry
Entry Level Sales Sift Out 7.1,entry Entry level sale Sift solution entry level position employee proactively sell product service customer compensation and/or performance base sale revenue sample task job include limit promote product customer persuade customer buy product complete transaction customer,20,yes,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,no,Entry
Event Sales Manager Solution,Manager Event Sales Manager solution design management level position hospitality industry sample task include sell use facility space special event manage staff solution focus sale solve problem make good decision potential job title use solution Event Sales Manager Events Manager Special Events Manager multiple configuration solution available,50,yes,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,yes,Manager
Executive - Short Form,Executive Executive solution intend use senior executive level position responsible planning direct coordinate key business activity operation high level organization executive level accomplish work subordinate executive provide overall direction organization determine formulating policy guideline set board director similar govern body potential job title use solution Executive Vice President President Executive Director,74,yes,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,yes,Executive
Financial Professional - Short Form,middle solution mid level financial institution position require Series certification candidate answer multiple choice question measure financial professional aptitude learn potential achievement orientation conscientiousness persistence planfulness self leadership interpersonal leadership sale focus customer focus,35,yes,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,no,Middle
Financial Services Representative Solution,Mid Professional Professional Individual Contributor Financial Services Representative solution senior level professional position insurance industry sell life insurance business individual behalf insurance company sample task position include limit call policyholder deliver explain policy suggest addition change calculate premium customize insurance program suite individual customer seek new client develop clientele networking ensure policy requirement fulfil confer client obtain provide information calim policy potential job title use solution Life Insurance Sales Professional Insurance Sales Agent multiple configuration solution available,44,yes,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,no,"Mid-Professional,Professional Individual Contributor"
Front Desk Associate Solution,entry Desk Associate solution design entry level customer service position hospitality industry solution appropriate position majority work guest check desk sample task include welcome guest warmly issue key guest tabulate guest bill accpete payment potential job title use solution Desk Clerk Guest Desk Attendant Guest check Associate Office Agent multiple configuration solution available,50,yes,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,yes,Entry
Gaming Associate Solution,entry Gaming Associate solution design entry mid level position operate gaming table solution highly customer service focus position potentially deal large sum money sample task include deal playing card count confirm patron bet collect patron loss distribute patron winning exchange currency play chip potential job title use solution Table Games Dealer Black Jack Dealer Dealer Casino Dealer Dual Rate Dealer Card Dealer Gaming Dealer multiple configuration solution available,50,yes,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,yes,Entry
Gaming Manager Solution,Manager Gaming Manager solution design management level position hospitality industry sample task include manage operation supervisor associate gaming environment solution focus security integrity managing sale potential job title use solution Gaming Floor Manager Gaming Manager multiple configuration solution available,55,yes,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,yes,Manager
General Entry Level - All Industries 7.0 Solution,entry General Entry Level Industries solution design entry level position industry solution predict follow type behavior foundational job time work follow rule policy treat respectfully produce quality work meet goal effectively work alongside solution industry entry level position example title include limit Administrator Clerk Veterinary Assistant Stocker Dish Washer Office Coordinator Tour Guide Cook Assistant Housekeeper Waste Collector,19,yes,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,no,Entry
General Entry Level - All Industries 7.1 Solution,entry General Entry Level Industries solution design entry level position industry solution predict follow type behavior foundational job time work follow rule policy treat respectfully produce quality work meet goal effectively work alongside solution industry entry level position example title include limit Administrator Clerk Veterinary Assistant Stocker Dish Washer Office Coordinator Tour Guide Cook Assistant Housekeeper Waste Collector,19,yes,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,no,Entry
General Entry Level - All Industries 7.1(Americas),entry General Entry Level Industries solution design entry level position industry solution predict follow type behavior foundational job time work follow rule policy treat respectfully produce quality work meet goal effectively work alongside solution industry entry level position example title include limit Administrator Clerk Veterinary Assistant Stocker Dish Washer Office Coordinator Tour Guide Cook Assistant Housekeeper Waste Collector,19,yes,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,no,Entry
General Entry Level – Data Entry 7.0 Solution,entry General Entry Level Data Entry solution design entry level position include enter datum computer datum management system solution measure speed accuracy type text number form predict follow type behavior foundational job time work follow rule policy treat respectfully produce quality work meet goal approach work thorough precise manner solution industry entry level position example title include limit Accounting Clerk Accounts Receivable Clerk Administrative Clerk Clerical Aide Clerical Assistant Office Assistant Office Services Specialist Staff Assistant,24,yes,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,no,Entry
Graduate + 8.0 Job Focused Assessment,Graduate Graduate + Job Focused Assessment short targeted globally applicable assessment include short cognitive ability measure help identify graduate high potential contribute succeed provide actionable feedback help onboard new hire,30,yes,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,no,Graduate
Graduate 7.1 Job Focused Assessment,Graduate Graduate Job Focused Assessment design professional level position appropriate recent college graduate,19,yes,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,no,Graduate
Guest Service Team 7.0 Solution,entry Guest Service Team solution design team orient entry level position involve high degree interaction customer solution cover wide variety position assess competency critical interact customer include persist meet guest need behave responsibly appropriately effectively work alongside prepare and/or deliver customer order follow rule policy communicate effectively potential job title use solution include Server Hostess Guest Services Team Member Customer Service Champion,18,yes,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,no,Entry
Graduate 8.0 Job Focused Assessment,Graduate Graduate Job Focused Assessment short targeted globally applicable assessment help identify graduate high potential contribute succeed provide actionable feedback help onboard new hire,20,yes,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,no,Graduate
Guest Services Associate Solution,entry Guest Services Associate solution design entry mid level customer service position hospitality industry solution highly customer service focus position sale component sample task include provide information entertainment dining transportation guest make dining recommentation guest arrange transportation guest make reservation potential job title use solution concierge Guest Services Agent Club Concierge Hotel Concierge Office Manager Guest Services Associate multiple configuration solution available,48,yes,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,yes,Entry
Healthcare Aide 7.0 Solution,entry Healthcare Aide solution design individually orient entry level position directly support person health solution cover wide variety position assess behavior critical patient support role include understanding follow detailed instruction administer personal care respectful tolerant patient prepare maintain record patient progress service perform work hard meet exceed patient need potential job title use solution include Personal Care Aide Healthcare Aide Home Health Aide Dental Assistant,22,yes,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,no,Entry
Healthcare Call Center Agent Solution,entry Healthcare Center Agent solution entry level position inbound healthcare center environment sample task job include limit take receive information patient phone work computer screen enter information computer potential job title use solution Center Representative Receptionist Switchboard Operator multiple configuration solution available,44,yes,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,yes,Entry
Healthcare Service Associate Solution,entry Healthcare Service Associate solution entry level position healthcare environment require employee interact patient sample task job include limit deliver food patient clean patient room welcome guest hospital potential job title use solution Housekeepers Dietary Aides Guest Services Coordinator multiple configuration version solution available,37,yes,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,yes,Entry
Healthcare Support Specialist Solution,entry Healthcare Support Specialist solution entry level position healthcare environment require employee interact patient sample task job include limit prepare food patient wash hospital linen clean healthcare facility potential job title use solution janitor Food Preparation Workers Laundry Associates multiple configuration solution available,30,yes,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,yes,Entry
Home Health Aide Solution,entry Home Health Aide solution entry level position home group home environment sample task job include limit monitor vital sign medication intake administer bedside personal care ambulation personal hygiene prepare maintain record patient progress service perform potential job title use solution Personal Care Aide Home Health Aide Residential Assistant Certified Nursing Assistant multiple configuration version solution available,41,yes,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,yes,Entry
Hospitality Manager Solution,Manager Hospitality Manager solution design management level position hospitality industry sample task include overall property management manage staff manage guest experience solution focus manage business operation manage staff solve problem make good decision maintain focus customer potential job title use solution Property Manager Property Director Hotel Manager Hospitality Manager multiple configuration solution available,57,yes,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,yes,Manager
Host Solution,entry host solution design entry level position hospitality industry sample task include greeting guest manage wait list show guest table solution focus work ethic customer focus potential job title use solution Host Hostess Greeter multiple configuration version solution available,30,yes,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,yes,Entry
Industrial - Entry Level 7.0 Solution,entry Industrial Entry level solution design entry level position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entry level position assess behavior include follow policy procedure general facility upkeep produce high quality work maintain orderly work environment wear require protective equipment thorough potential job title use solution include Laborer Custodians Building Grounds Maintenance Workers Handyman,20,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,no,Entry
Industrial - Entry Level 7.1 (Americas),entry Industrial Entry level solution design entry level position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entry level position assess behavior include follow policy procedure general facility upkeep produce high quality work maintain orderly work environment wear require protective equipment thorough potential job title use solution include Laborer Custodians Building Grounds Maintenance Workers Handyman,20,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,no,Entry
Industrial - Entry Level 7.1 (International),entry Industrial Entry level solution design entry level position measure behavior experience underlie successful safe performance general light industrial role solution cover wide variety entry level position assess behavior include follow policy procedure general facility upkeep produce high quality work maintain orderly work environment wear require protective equipment thorough potential job title use solution include Laborer Custodians Building Grounds Maintenance Workers Handyman,20,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,no,Entry
Industrial - Professional and Skilled 7.0 Solution,entry industrial Professional skilled solution design measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assess mechanical comprehension foundational behavior include behave safely efficiently workplace instal repair and/or maintain equipment machinery make sound mechanical decision maintain orderly work environment produce high quality reliable work,49,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,yes,Entry
Industrial - Semi-skilled 7.1 (Americas),entry Industrial semi skilled solution design entry level position measure behavior experience underlie successful safe performance production worker solution assess behavior competency foundational industrial role include follow policy procedure apply relevant trade skill wear require protective equipment work monitor equipment produce high quality work effectively work maintain orderly work environment potential job title use solution include Production Assembly Worker Construction Worker Extraction Technician,24,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,no,Entry
Industrial - Semi-skilled 7.1 (International),entry Industrial semi skilled solution design entry level position measure behavior experience underlie successful safe performance production worker solution assess behavior competency foundational industrial role include follow policy procedure apply relevant trade skill wear require protective equipment work monitor equipment produce high quality work effectively work maintain orderly work environment potential job title use solution include Production Assembly Worker Construction Worker Extraction Technician,24,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,no,Entry
Industrial Professional and Skilled 7.1 (Americas),entry industrial Professional skilled solution design measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assess mechanical comprehension foundational behavior include behave safely efficiently workplace instal repair and/or maintain equipment machinery make sound mechanical decision maintain orderly work environment produce high quality reliable work,49,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,no,Entry
Industrial Professional and Skilled 7.1 Solution,entry industrial Professional skilled solution design measure behavior experience underlie successful safe performance workplace specialized technical professional industrial role solution assess mechanical comprehension foundational behavior include behave safely efficiently workplace instal repair and/or maintain equipment machinery make sound mechanical decision maintain orderly work environment produce high quality reliable work,49,yes,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,no,Entry
Installation and Repair Technician Solution,Mid Professional Professional Individual Contributor Installation Repair technician solution design use entry level field technician position telecommunications industry solution focus position involve instal repair maintain telecommunications equipment customer interaction little specific sale component sample task include instal repair end user telecommunications equipment service interact customer instal repair telecommunication network infrastructure potential job title use solution Installer Service Technician Customer Installation Technician multiple configuration solution available,49,yes,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,yes,"Mid-Professional,Professional Individual Contributor"
Insurance Account Manager Solution,Middle Insurance Account Manager solution mid level insurance professional manage day day operation activity customer account sample task job include limit solicit sale new additional product service interact customer provide information response inquiry product service handle resolve complaint keep record customer interaction transaction resolve customer service billing complaint determine charge service request collect deposit payment arrange billing potential job title use solution Account Executive Account Manager Senior Account Manager multiple configuration solution available,48,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,yes,Middle
Insurance Administrative Assistant Solution,entry Administrative Assistant solution entry level clerical position interact external internal customer sample task job include limit answer telephone manage file record sort mail handle information request greet customer collaborate co worker project potential job title use solution Receptionist Administrative Assistant multiple configuration solution available,24,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,yes,Entry
Insurance Agent Solution,Middle Insurance Agent solution mid level professional position insurance industry sell property casualty automotive type insurance sample task position include limit call policyholder deliver explain policy suggest addition change calculate premium customize insurance program suit individual customer ensure policy requirement fulfil confer client obtain provide information claim policy potential job title use solution Insurance Sales Professional Insurance Sales Agent Producer Insurance Agent multiple configuration solution available,46,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,yes,Middle
Insurance Director Solution,Manager Insurance Director solution senior level management position insurance company oversee sale function multiple brokerage office agency geographic territory sample task job include limit direct group sale manager agency manager have profit loss responsibility district region align work overall company goal potential job title use solution Regional Managers Associate Directors Managing Directors multiple configuration solution available,49,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,yes,Manager
Insurance Sales Manager Solution,Manager Sales Manager solution entry- mid level management position involve supervise employee work insurance organization substantial portion job performance base sale sample task job include limit planning prepare work schedule promote product customer train subordinate analyze sale statistic gather staff determine sale potential monitor preference customer build ongoing customer relationship make day day decision minimal guidance potential job title use solution Insurance Sales Manager Sales Manager Assistant Sales Manager Sales Supervisor multiple configuration solution available,51,yes,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,yes,Manager
Manager - Short Form,Manager Manager solution assessment job candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem potential job title use solution Manager Store Manager Branch Manager,57,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,yes,Manager
Manager + 7.0 Solution,Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,53,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,yes,Manager
Manager + 7.1 (Americas),Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,63,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,yes,Manager
Manager + 7.1 (International),Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,63,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,yes,Manager
Manager 7.0 Solution,Manager Manager solution design candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,35,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,no,Manager
Manager + 7.1 (Americas),Executive Director Line Manager Manager Manager + solution design candidate apply entry level leadership position tend supervise salaried employee include SHL new innovative mobile ability assessment Verify Interactive deductive Reasoning sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,63,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,yes,"Executive, Director, Front Line Manager, Manager"
Manager 7.0 Solution,Manager Manager solution design candidate apply entry level leadership position tend supervise salaried employee sample task job include limit planning project subordinate collaborate senior manager develop new method procedure coach employee performance relate issue develop employee skill coordinate activity manager accomplish organizational goal set meeting department goal prioritize multiple task priority make select strategic day day decision solve employee customer problem,35,yes,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,no,Manager
